Câu hỏi,Câu trả lời
16. Trường có chương trình cử nhân quốc tế nào và liên kết với trường nào?,Trường hợp tác với Đại học IMC Krems (Cộng hòa Áo) để đào tạo chương trình cử nhân quốc tế ngành Quản trị kinh doanh và Quản lý thương mại điện tử.
17. Trường có những chương trình đào tạo tiếng Hoa nào?,"Hiện tại, trường chưa có thông tin cụ thể về các chương trình đào tạo tiếng Hoa."
18. Các chương trình học bổng tiêu biểu mà sinh viên SGU có thể tham gia là gì?,Trường có chính sách học bổng khuyến khích học tập dành cho sinh viên có thành tích học tập và rèn luyện tốt. Mức học bổng dao động từ 5.850.000 đến 6.350.000 VNĐ cho mỗi học kỳ.
19. Trường có tổ chức các hoạt động ngoại khóa cho sinh viên không?,"Trường thường xuyên tổ chức các hoạt động ngoại khóa như: câu lạc bộ học thuật, thể thao, văn nghệ, tình nguyện, nhằm phát triển toàn diện cho sinh viên."
20. Thời gian đào tạo hệ đại học chính quy là bao lâu?,"Thời gian đào tạo hệ đại học chính quy thường là 4 năm, tùy thuộc vào ngành học cụ thể."
21. Trường có chương trình đào tạo liên thông không?,"Trường có chương trình đào tạo liên thông từ trình độ trung cấp, cao đẳng lên đại học, theo hình thức chính quy hoặc vừa làm."
22. Trường có chương trình đào tạo liên thông không?,"Trường Đại học Sài Gòn có tổ chức chương trình đào tạo liên thông từ trình độ trung cấp, cao đẳng lên đại học, theo hình thức chính quy hoặc vừa làm vừa học."
23. Trường có chương trình đào tạo từ xa hoặc trực tuyến không?,"Hiện tại, trường chưa triển khai chương trình đào tạo từ xa hoặc trực tuyến."
24. Trường có các chương trình hợp tác đào tạo quốc tế nào?,Trường hợp tác với Đại học IMC Krems (Cộng hòa Áo) để đào tạo chương trình cử nhân quốc tế ngành Quản trị kinh doanh và Quản lý thương mại điện tử.
25. Trường có các chương trình đào tạo ngắn hạn hoặc chứng chỉ không?,"Trường tổ chức các lớp bồi dưỡng, nâng cao nghiệp vụ, kỹ năng nghề nghiệp cho giáo viên và cán bộ quản lý giáo dục."
26. Trường có các chương trình đào tạo sau đại học ngoài thạc sĩ không?,"Hiện tại, trường chỉ đào tạo trình độ thạc sĩ và chưa có chương trình đào tạo sau đại học khác."
27. Trường có các chương trình đào tạo liên kết với doanh nghiệp không?,"Trường có hợp tác với các doanh nghiệp trong việc tổ chức thực tập, thực tế cho sinh viên nhằm nâng cao kỹ năng nghề nghiệp."
28. Trường có các chương trình đào tạo song bằng không?,"Hiện tại, trường chưa triển khai chương trình đào tạo song bằng."
29. Trường có các chương trình đào tạo bằng tiếng Anh không?,"Trường có chương trình cử nhân quốc tế ngành Quản trị kinh doanh và Quản lý thương mại điện tử, giảng dạy bằng tiếng Anh."
30. Trường có các chương trình đào tạo sau đại học bằng tiếng Anh không?,"Hiện tại, các chương trình đào tạo sau đại học của trường giảng dạy bằng tiếng Việt."
