Câu hỏi,Đáp án chuẩn,DeepSeek trả lời,Gemini trả lời,OpenAI trả lời
11. Các ngành đào tạo theo hình thức giáo dục thường xuyên gồm những gì?,"Giáo dục thường xuyên gồm: liên thông, vừa làm vừa học, bằng hai.",Trường Đại học Sài Gòn :offersProgram :Vừa làm vừa học Giáo dục Mầm non .,Giáo dục thường xuyên :offersProgram :Đào tạo Đại học liên thông .,Giáo dục thường xuyên
12. Trường đào tạo văn bằng hai ở những ngành nào?,"Văn bằng hai gồm: Ngôn ngữ Anh, Kế toán, Luật, Quản trị Kinh doanh, Giáo dục Tiểu học và Quản lý Giáo dục.",Trường Đại học Sài Gòn :offersProgram :Văn bằng hai Quản trị Kinh doanh .,Hóa hữu cơ - Quản trị Kinh doanh,"rdfs:range :Bộ môn Giáo dục Quốc phòng & An ninh - Giáo dục Thể chất, :Giảng viên Đại học Sài Gòn, :Khoa Công nghệ Thông tin, :Khoa Giáo dục, :Khoa Giáo dục Mầm non, :Khoa Giáo dục Tiểu học, :Khoa Khoa học Chính trị, :Khoa Khoa học Môi trường, :Khoa Nghệ thuật, :Khoa Ngoại ngữ, :Khoa Quản trị Kinh doanh, :Khoa Sư phạm Khoa học Tự nhiên, :Khoa Sư phạm Khoa học Xã hội, :Khoa Thư viện - Văn phòng, :Khoa Toán - Ứng dụng, :Khoa Tài chính - Kế toán, :Khoa Văn hóa và Du lịch, :Khoa Điện tử - Viễn thông ."
13. Trường có bao nhiêu cơ sở đào tạo? Diện tích từng cơ sở là bao nhiêu?,"Có 3 cơ sở chính: 273 An Dương Vương (42.743m²), 105 Bà Huyện Thanh Quan (4.823m²), 04 Tôn Đức Thắng (19.655m²).",Cơ sở 105 Bà Huyện Thanh Quan,,Cơ sở 105 Bà Huyện Thanh Quan
14. Địa chỉ ký túc xá sinh viên là gì và có diện tích bao nhiêu?,"Ký túc xá tại 99 An Dương Vương, Quận 8, diện tích 4.800m².",Trường Đại học Sài Gòn :hasCampus :Cơ sở 273 An Dương Vương .,,Cơ sở 273 An Dương Vương
15. Trường Đại học Sài Gòn có hợp tác với các quốc gia nào?,"Trường hợp tác với các quốc gia như Hoa Kỳ, Anh, Pháp, Nga, Singapore, Áo, Đài Loan, v.v.",Phòng Hợp tác quốc tế & Doanh nghiệp,"Các chương trình hợp tác, đào tạo quốc tế :offersProgram :Chương trình Cử nhân Quốc tế Quản trị Kinh doanh và Quản lý Thương mại Điện tử .",Phòng Hợp tác quốc tế & Doanh nghiệp
16. Trường có chương trình cử nhân quốc tế nào và liên kết với trường nào?,Chương trình Cử nhân Quốc tế liên kết với IMC Krems (Áo).,Cử nhân Quốc tế Quản trị Kinh doanh và Quản lý Thương mại Điện tử,Chương trình đại trà :offersProgram :Sư phạm Âm nhạc - Kinh doanh Quốc tế .,Chương trình đào tạo Đại học
17. Trường có những chương trình đào tạo tiếng Hoa nào?,Chương trình tiếng Hoa hợp tác với Trung tâm Hoa ngữ Sư phạm Đài Loan.,Trường Đại học Sài Gòn :offersInternationalProgram :Đào tạo tiếng Hoa (Đài Loan) .,"Hợp tác quốc tế :includes :Các chương trình hợp tác, đào tạo quốc tế .","rdfs:range :Bộ môn Giáo dục Quốc phòng & An ninh - Giáo dục Thể chất, :Giảng viên Đại học Sài Gòn, :Khoa Công nghệ Thông tin, :Khoa Giáo dục, :Khoa Giáo dục Mầm non, :Khoa Giáo dục Tiểu học, :Khoa Khoa học Chính trị, :Khoa Khoa học Môi trường, :Khoa Nghệ thuật, :Khoa Ngoại ngữ, :Khoa Quản trị Kinh doanh, :Khoa Sư phạm Khoa học Tự nhiên, :Khoa Sư phạm Khoa học Xã hội, :Khoa Thư viện - Văn phòng, :Khoa Toán - Ứng dụng, :Khoa Tài chính - Kế toán, :Khoa Văn hóa và Du lịch, :Khoa Điện tử - Viễn thông ."
18. Các chương trình học bổng tiêu biểu mà sinh viên SGU có thể tham gia là gì?,"Học bổng tiêu biểu: Bộ Y tế Singapore (Asian Nursing), Bộ Giáo dục Đài Loan.",Trường Đại học Sài Gòn :hasInternationalCooperation :Bộ Giáo dục Đài Loan .,"Các chương trình hợp tác, đào tạo quốc tế :offersProgram :Học bổng của Bộ Giáo dục Đài Loan .",Trường Đại học Sài Gòn :hasInternationalCooperation :Bộ Giáo dục Đài Loan .
19. Những chương trình liên kết đào tạo nào đang được triển khai tại SGU?,"Liên kết đào tạo với Đại học Huddersfiled (Anh) ngành CNTT, TESOL, v.v.","rdfs:range :Asian Nursing Scholarship, :Chương trình chuyển tiếp Đại học Huddersfield, :Cử nhân Quốc tế Quản trị Kinh doanh và Quản lý Thương mại Điện tử, :Học bổng Đài Loan, :Thạc sĩ Giảng dạy tiếng Anh (TESOL), :Đào tạo tiếng Hoa (Đài Loan) .","Các chương trình hợp tác, đào tạo quốc tế :offersProgram :Chương trình Cử nhân Quốc tế Quản trị Kinh doanh và Quản lý Thương mại Điện tử .",Chương trình Thạc sĩ Giảng dạy tiếng Anh (TESOL - Đại học Huddersfiled)
20. Điều kiện để sinh viên được tham gia đề tài nghiên cứu khoa học là gì?,"Điều kiện: học lực trung bình trở lên, không bị kỷ luật, không vi phạm quy định.",,,
21. Sinh viên được hưởng quyền lợi gì khi tham gia nghiên cứu khoa học?,"Quyền lợi: được hỗ trợ kinh phí, cấp chứng nhận, cộng điểm rèn luyện, xét thưởng.",,,
22. Những loại bài báo nào sẽ được xét thưởng và cộng điểm rèn luyện?,Bài báo đăng tạp chí chuyên ngành hoặc kỷ yếu hội thảo đều được xét thưởng.,Tạp chí Khoa học Đại học Sài Gòn :hasRequirement :Yêu cầu hình thức bài báo .,Tạp chí Khoa học Đại học Sài Gòn :hasSubmissionGuidelines :Quy định chung về bài báo khoa học .,Trường Đại học Sài Gòn :publishesIn :Tạp chí chuyên ngành và Kỷ yếu Hội thảo .
23. Sinh viên có thể xem chi tiết về quy định nghiên cứu khoa học ở đâu?,Chi tiết NCKH xem tại Quy chế chương 7 hoặc hỏi giảng viên trợ lý NCKH.,Quyền li NCKH :includes :Giải thưng Sinh viên NCKH cấp cơ sở .,"rdfs:range :Bài báo Khoa học và báo cáo tham luận, :Dự án nghiên cứu 1, :Dự án nghiên cứu 2, :Quyền lợi sinh viên NCKH, :Đề tài Nghiên cứu khoa học cấp cơ sở .",
24. Tạp chí Khoa học Đại học Sài Gòn có mã ISSN là gì? Địa chỉ liên hệ và website là gì?,ISSN tạp chí: 1859-3208. Website: http://sj.sgu.edu.vn,,,
25. Đối tượng phục vụ của Tạp chí là ai?,"Phục vụ cán bộ, giảng viên, sinh viên các trường, viện, học viện.",Trường Đại học Sài Gòn :hasDepartment :Viện Nghiên cứu Môi trường - Sức khỏe .,"rdfs:range :Bài báo Khoa học và báo cáo tham luận, :Dự án nghiên cứu 1, :Dự án nghiên cứu 2, :Quyền lợi sinh viên NCKH, :Đề tài Nghiên cứu khoa học cấp cơ sở .",Trường Đại học Sài Gòn :hasDepartment :Viện Nghiên cứu Môi trường - Sức khỏe .
26. Tạp chí công bố những loại bài viết nào?,"Tạp chí công bố kết quả nghiên cứu, bài giảng dạy - học tập.",Tạp chí Khoa học Đại học Sài Gòn :hasSubmissionProcess :Yêu cầu bài gửi .,"rdfs:range :Bài báo Khoa học và báo cáo tham luận, :Dự án nghiên cứu 1, :Dự án nghiên cứu 2, :Quyền lợi sinh viên NCKH, :Đề tài Nghiên cứu khoa học cấp cơ sở .","rdfs:range :Bộ môn Giáo dục Quốc phòng & An ninh - Giáo dục Thể chất, :Giảng viên Đại học Sài Gòn, :Khoa Công nghệ Thông tin, :Khoa Giáo dục, :Khoa Giáo dục Mầm non, :Khoa Giáo dục Tiểu học, :Khoa Khoa học Chính trị, :Khoa Khoa học Môi trường, :Khoa Nghệ thuật, :Khoa Ngoại ngữ, :Khoa Quản trị Kinh doanh, :Khoa Sư phạm Khoa học Tự nhiên, :Khoa Sư phạm Khoa học Xã hội, :Khoa Thư viện - Văn phòng, :Khoa Toán - Ứng dụng, :Khoa Tài chính - Kế toán, :Khoa Văn hóa và Du lịch, :Khoa Điện tử - Viễn thông ."
27. Những quy định về nội dung và hình thức bài báo đăng trên Tạp chí là gì?,"Nội dung: mục tiêu, kết quả mới, giá trị thực tiễn, phải được phản biện.",,"rdfs:range :CNKT Điện tử - Viễn thông - Thanh nhạc, :CNKT Điện, Điện tử - Thông tin - Thư viện, :Chương trình Cử nhân Quốc tế Quản trị Kinh doanh và Quản lý Thương mại Điện tử, :Chương trình chính quy, :Chương trình chất lượng cao, :Chương trình giáo dục thường xuyên, :Chương trình liên kết đào tạo khác, :Chương trình đào tạo tiếng Hoa, :Chương trình đại trà, :Công nghệ Kỹ thuật Môi trường - Toán Ứng dụng, :Công nghệ Thông tin - Việt Nam học, :Giáo dục Chính trị - Du lịch, :Giáo dục Mầm non - Kế toán, :Giáo dục Tiểu học - Khoa học Môi trường, :Giáo dục thường xuyên, :Hóa hữu cơ, :Hóa hữu cơ - Quản trị Kinh doanh, :Hóa lý thuyết và Hóa lý - Tài chính – Ngân hàng, :Hệ chính quy, :Học bổng của Bộ Giáo dục Đài Loan, :Học bổng toàn phần của Bộ Y tế Singapore, :Khoa học Máy tính - Toán Giải tích, :LL & PPDH bộ môn Toán - Luật dân sự và tố tụng dân sự, :Lịch sử Việt Nam, :Lịch sử Việt Nam - Văn học Việt Nam, :Ngôn ngữ học, :Quản lý Giáo dục, :Quản trị Kinh doanh, :Sư phạm Hóa học - Kỹ thuật Điện tử - Viễn thông, :Sư phạm Khoa học Tự nhiên - Kỹ thuật Phần mềm, :Sư phạm Lịch sử - Luật, :Sư phạm Lịch sử - Địa lý - Ngôn ngữ Anh, :Sư phạm Mỹ thuật - Quản lý Giáo dục, :Sư phạm Ngữ Văn - Quản trị Kinh doanh, :Sư phạm Sinh học - Quản trị Văn phòng, :Sư phạm Tiếng Anh - Quốc tế học, :Sư phạm Toán học - Tài chính - Ngân hàng, :Sư phạm Vật lý - Tâm lý học, :Sư phạm Âm nhạc - Kinh doanh Quốc tế, :Sư phạm Địa lý - Kỹ thuật Điện, :Toán Giải tích, :Trình độ Sau Đại học, :Trình độ Tiến sĩ, :Trình độ Đại học, :Đào tạo hệ đại học vừa làm vừa học, :Đào tạo văn bằng thứ hai, :Đào tạo Đại học liên thông .",
28. Tạp chí sử dụng quy chuẩn trích dẫn nào cho các lĩnh vực Khoa học Tự nhiên và Xã hội?,"Chuẩn trích dẫn: IEEE cho KHTN, APA cho KHXH và GD.",,,
29. Những yêu cầu kỹ thuật đối với hình minh họa trong bài báo là gì?,"Yêu cầu minh họa: 300dpi, định dạng JPG, PNG, BMP.","rdfs:range :Cấu trúc bài báo, :Hình ảnh minh họa, :Trích dẫn tài liệu, :Yêu cầu hình thức bài báo, :Yêu cầu nội dung bài báo .",,
30. Những điều cần lưu ý khi trích dẫn tài liệu tham khảo viết bằng tiếng nước ngoài?,"Không phiên âm/dịch tên nước ngoài, phải nêu rõ nguồn và mã đề tài.",,,
