Câu hỏi,Đáp án chuẩn,DeepSeek trả lời,Gemini trả lời,OpenAI trả lời,DeepSeek True/False,Gemini True/False,OpenAI True/False
11. Các ngành đào tạo theo hình thức giáo dục thường xuyên gồm những gì?,"Giáo dục thường xuyên gồm: liên thông, vừa làm vừa học, bằng hai.",Liên thông Giáo dục Tiểu học. Chương trình liên thông đại học ngành giáo dục tiểu học,Đào tạo Đại học liên thông. Loại hình đào tạo thuộc hệ Giáo dục thường xuyên tại Trường Đại học Sài Gòn,Giáo dục thường xuyên. Chương trình giáo dục thường xuyên dành cho người học vừa làm vừa học.,True,True,True
12. Trường đào tạo văn bằng hai ở những ngành nào?,"Văn bằng hai gồm: Ngôn ngữ Anh, Kế toán, Luật, Quản trị Kinh doanh, Giáo dục Tiểu học và Quản lý Giáo dục.",Văn bằng hai Quản lý Giáo dục. Chương trình văn bằng hai ngành quản lý giáo dục,,Đào tạo văn bằng thứ hai. Đào tạo văn bằng thứ hai trình độ đại học các ngành: Ngôn ngữ Anh,True,False,True
13. Trường có bao nhiêu cơ sở đào tạo? Diện tích từng cơ sở là bao nhiêu?,"Có 3 cơ sở chính: 273 An Dương Vương (42.743m²), 105 Bà Huyện Thanh Quan (4.823m²), 04 Tôn Đức Thắng (19.655m²).",Cơ sở 273 An Dương Vương. Cơ sở chính tại Q.5 với diện tích 42.743 m2,Cơ sở 273 An Dương Vương. Cơ sở đào tạo Đại học và Sau Đại học của Trường Đại học Sài Gòn tại địa chỉ 273 An Dương Vương,,True,True,False
14. Địa chỉ ký túc xá sinh viên là gì và có diện tích bao nhiêu?,"Ký túc xá tại 99 An Dương Vương, Quận 8, diện tích 4.800m².",Ký túc xá 99 An Dương Vương. Ký túc xá sinh viên tại Q.8 với diện tích 4.800 m2,Ký túc xá 99 An Dương Vương. Ký túc xá Sinh viên của Trường Đại học Sài Gòn tại địa chỉ 99 An Dương Vương,,True,True,False
15. Trường Đại học Sài Gòn có hợp tác với các quốc gia nào?,"Trường hợp tác với các quốc gia như Hoa Kỳ, Anh, Pháp, Nga, Singapore, Áo, Đài Loan, v.v.",Hiệp hội Phát triển Kinh tế Văn hóa Giáo dục Đài Việt. Tổ chức hợp tác giáo dục giữa Đài Loan và Việt Nam,Hợp tác quốc tế đa phương. Hoạt động hợp tác quốc tế chung của Trường Đại học Sài Gòn với các trường đại học và tổ chức quốc tế ở nhiều nước như Hoa Kỳ,Hợp tác quốc tế. Hoạt động hợp tác quốc tế tại Trường Đại học Sài Gòn bao gồm các chương trình đối ngoại và hợp tác với các trường đại học nước ngoài.,True,True,True
16. Trường có chương trình cử nhân quốc tế nào và liên kết với trường nào?,Chương trình Cử nhân Quốc tế liên kết với IMC Krems (Áo).,Cử nhân Quốc tế Quản trị Kinh doanh và Quản lý Thương mại Điện tử. Chương trình liên kết với Đại học Khoa học Ứng dụng IMC Krems (Áo),,,True,False,False
17. Trường có những chương trình đào tạo tiếng Hoa nào?,Chương trình tiếng Hoa hợp tác với Trung tâm Hoa ngữ Sư phạm Đài Loan.,Đào tạo tiếng Hoa (Đài Loan). Chương trình liên kết với Hiệp hội Phát triển Kinh tế Văn hóa Giáo dục Đài Việt,Chương trình đào tạo tiếng Hoa (Đài Loan). Chương trình liên kết đào tạo tiếng Hoa (Đài Loan) giữa Trường Đại học Sài Gòn và Hiệp hội Phát triển Kinh tế Văn hóa Giáo dục Đài Việt. Bao gồm các nội dung: Hoa ngữ giao tiếp,Chương trình đào tạo tiếng Hoa. Chương trình liên kết với Hiệp hội Phát triển Kinh tế Văn hóa Giáo dục Đài Việt.,True,True,True
18. Các chương trình học bổng tiêu biểu mà sinh viên SGU có thể tham gia là gì?,"Học bổng tiêu biểu: Bộ Y tế Singapore (Asian Nursing), Bộ Giáo dục Đài Loan.",Bộ Y tế Singapore. Cơ quan chính phủ Singapore cung cấp học bổng Asian Nursing Scholarship,Học bổng Asian Nursing Scholarship (Singapore). Chương trình Học bổng toàn phần của Bộ Y tế Singapore (MOHH) dành cho sinh viên Trường Đại học Sài Gòn để đào tạo Trợ lý bác sĩ tại Singapore trong 3 năm. Bao gồm trợ cấp sinh hoạt phí,Học bổng của Bộ Giáo dục Đài Loan. Học bổng Cử nhân hệ chính quy,True,True,True
19. Những chương trình liên kết đào tạo nào đang được triển khai tại SGU?,"Liên kết đào tạo với Đại học Huddersfiled (Anh) ngành CNTT, TESOL, v.v.",Chính quy. Phương thức đào tạo tập trung toàn thời gian,Ngôn ngữ Anh. Chương trình đào tạo đại học hệ chính quy,,True,True,False
20. Điều kiện để sinh viên được tham gia đề tài nghiên cứu khoa học là gì?,"Điều kiện: học lực trung bình trở lên, không bị kỷ luật, không vi phạm quy định.",Điều kiện tham gia NCKH. SV phải có kết quả học tập trung bình trở lên,Khoa học Môi trường. Chương trình đào tạo đại học hệ chính quy,,True,True,False
21. Sinh viên được hưởng quyền lợi gì khi tham gia nghiên cứu khoa học?,"Quyền lợi: được hỗ trợ kinh phí, cấp chứng nhận, cộng điểm rèn luyện, xét thưởng.",Quyền li NCKH. Được h tr kinh phí,Hội đồng trường. Tổ chức quản trị,Quyền lợi sinh viên NCKH. Sinh viên có đề tài NCKH đạt yêu cầu sẽ được hỗ trợ kinh phí,True,True,True
22. Những loại bài báo nào sẽ được xét thưởng và cộng điểm rèn luyện?,Bài báo đăng tạp chí chuyên ngành hoặc kỷ yếu hội thảo đều được xét thưởng.,Giáo dục thường xuyên. Phương thức đào tạo không tập trung bao gồm vừa làm vừa học,Giáo dục thường xuyên. Phương thức đào tạo không tập trung tại Trường Đại học Sài Gòn,Bài báo Khoa học và báo cáo tham luận. Sinh viên có bài báo đăng trên các Tạp chí chuyên ngành hoặc báo cáo khoa học sẽ được xét thưởng kinh phí và cộng điểm rèn luyện.,True,True,True
23. Sinh viên có thể xem chi tiết về quy định nghiên cứu khoa học ở đâu?,Chi tiết NCKH xem tại Quy chế chương 7 hoặc hỏi giảng viên trợ lý NCKH.,,,Quyền lợi sinh viên NCKH. Sinh viên có đề tài NCKH đạt yêu cầu sẽ được hỗ trợ kinh phí,False,False,True
24. Tạp chí Khoa học Đại học Sài Gòn có mã ISSN là gì? Địa chỉ liên hệ và website là gì?,ISSN tạp chí: 1859-3208. Website: http://sj.sgu.edu.vn,,,,False,False,False
25. Đối tượng phục vụ của Tạp chí là ai?,"Phục vụ cán bộ, giảng viên, sinh viên các trường, viện, học viện.",,,,False,False,False
26. Tạp chí công bố những loại bài viết nào?,"Tạp chí công bố kết quả nghiên cứu, bài giảng dạy - học tập.",Tạp chí Khoa học Đại học Sài Gòn. Tạp chí khoa học công bố kết quả nghiên cứu của cán bộ,Tạp chí Khoa học Đại học Sài Gòn. Tạp chí khoa học (Scientific Journal of Saigon University) do Trường Đại học Sài Gòn là cơ quan chủ quản. ISSN: 1859-3208. Giấy phép hoạt động số 22/GP-BTTTT (23/01/2015). Phục vụ cán bộ giảng dạy,Tạp chí Khoa học. Tạp chí khoa học công bố các nghiên cứu và bài viết trong lĩnh vực giáo dục và nghiên cứu.,True,True,True
27. Những quy định về nội dung và hình thức bài báo đăng trên Tạp chí là gì?,"Nội dung: mục tiêu, kết quả mới, giá trị thực tiễn, phải được phản biện.",Tiến sĩ. Trình độ sau đại học cao nhất với 05 chuyên ngành tiến sĩ,Khoa Giáo dục Tiểu học. Khoa chuyên môn thuộc Trường Đại học Sài Gòn,Tiến sĩ. Bằng tiến sĩ là bằng cấp cao nhất trong hệ thống giáo dục đại học.,True,True,True
28. Tạp chí sử dụng quy chuẩn trích dẫn nào cho các lĩnh vực Khoa học Tự nhiên và Xã hội?,"Chuẩn trích dẫn: IEEE cho KHTN, APA cho KHXH và GD.",Trích dẫn tài liệu. Theo tiêu chuẩn IEEE (Khoa học Tự nhiên) hoặc APA (Khoa học Xã hội và Giáo dục),,,True,False,False
29. Những yêu cầu kỹ thuật đối với hình minh họa trong bài báo là gì?,"Yêu cầu minh họa: 300dpi, định dạng JPG, PNG, BMP.",Hình ảnh minh họa. Độ phân giải 300dpi trở lên,,,True,False,False
30. Những điều cần lưu ý khi trích dẫn tài liệu tham khảo viết bằng tiếng nước ngoài?,"Không phiên âm/dịch tên nước ngoài, phải nêu rõ nguồn và mã đề tài.",Khoa Ngoại ngữ. Đào tạo ngoại ngữ và sư phạm ngoại ngữ,Ngôn ngữ Anh. Chương trình đào tạo đại học hệ chính quy,Ngôn ngữ học. Chương trình đào tạo ngành Ngôn ngữ học.,True,True,True
